btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,class_y0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,1,1,-1,1
1,-1,1,-1,-1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,0
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,-1,-1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,1,1,-1,1
1,-1,-1,1,1,-1,1,1,1,1,1
1,-1,-1,1,-1,1,1,1,1,1,1
1,1,-1,-1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,-1,-1,-1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,-1,-1,1,1
1,1,1,-1,-1,1,1,-1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,-1,1,1,1,1,0
-1,-1,1,-1,-1,1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,-1,-1,1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,1,-1,1,1,1,1,-1,1,1
1,1,-1,1,1,1,-1,-1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,1
1,1,1,-1,-1,-1,1,1,1,1,0
-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1,-1,1,1,1,1,1,-1,1,1,0
-1,1,-1,-1,1,-1,-1,1,-1,1,1
1,1,1,1,1,-1,1,1,1,1,0
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,1,1,-1,-1,1
1,-1,1,-1,-1,1,1,-1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,1,1,-1,1
1,-1,-1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1,1,-1,1,0
-1,-1,-1,-1,1,1,1,-1,-1,-1,1
1,1,-1,-1,1,1,1,1,1,1,0
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,1
1,1,1,-1,1,-1,-1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,1,-1,-1,1,-1,-1,1,-1,1
1,1,-1,-1,1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
1,-1,-1,1,-1,1,1,-1,1,1,0
-1,-1,-1,-1,1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,1,-1,1,-1,1,-1,1
1,-1,1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,1,-1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,0
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,-1,-1,1,1,1,-1,1,1,1,1
1,1,-1,1,1,-1,1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1,1,0
-1,1,1,-1,-1,-1,1,-1,-1,-1,1
1,1,1,-1,1,1,-1,1,1,1,1
1,1,1,1,1,-1,-1,1,-1,1,1
1,1,1,1,-1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,1,-1,-1,-1,-1,1,1,-1,0
-1,-1,-1,-1,-1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,1
1,1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,1,1,-1,-1,1,-1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1,-1,1,-1,-1,-1,1,1,1,1,1
1,-1,1,-1,-1,1,1,1,-1,1,0
-1,-1,-1,-1,1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,-1,1,-1,0
-1,1,-1,-1,1,-1,-1,1,1,-1,0
-1,-1,1,-1,-1,-1,1,1,-1,-1,1
1,-1,-1,1,-1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,1,-1,-1,-1,1,-1,1
1,1,1,1,1,-1,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,-1,-1,-1,1
1,-1,1,-1,-1,1,1,-1,1,1,1
1,1,-1,1,1,1,-1,1,1,1,0
-1,1,1,-1,1,-1,1,-1,-1,1,0
-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,-1,1,1,-1,-1,1,1,1,0
-1,-1,1,-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,-1,1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,-1,1,1,1,-1,1,1
1,1,1,-1,1,1,1,-1,1,1,1
1,1,1,1,1,1,-1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,-1,-1,-1,1,1,0
-1,1,1,-1,-1,-1,-1,1,-1,-1,1
1,1,1,-1,-1,-1,1,1,1,1,0
-1,-1,1,-1,-1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,-1,1,-1,1,1
1,1,1,-1,1,1,1,-1,1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
1,-1,-1,-1,1,-1,1,1,1,1,1
1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,-1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,1,-1,-1,1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,-1,1,1,1,1
1,-1,-1,1,1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
1,-1,-1,-1,1,-1,1,-1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,-1,-1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,-1,1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,1,-1,1,1,1,-1,-1,1,1,0
-1,1,-1,-1,1,-1,-1,1,-1,-1,1
1,1,1,1,-1,-1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,1,-1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,1,1,-1,-1,1
1,-1,-1,1,1,1,1,-1,1,1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,1,1,-1,1,1,1
1,1,1,-1,1,1,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,-1,-1,-1,0
-1,-1,1,-1,-1,1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,-1,1,0
-1,1,1,-1,-1,1,1,-1,-1,-1,0
-1,1,1,-1,1,1,-1,-1,-1,-1,1
1,1,1,-1,1,-1,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,1
1,-1,-1,-1,1,-1,1,1,-1,1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
1,-1,-1,1,1,1,-1,1,1,1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,-1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,-1,1,-1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,-1,1,-1,1,-1,0
-1,-1,1,-1,-1,1,-1,1,-1,-1,1
1,-1,-1,1,1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,-1,-1,-1,1,1,1,-1,-1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,1
1,1,-1,1,1,-1,1,1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,-1,1,-1,1,0
-1,1,1,-1,-1,-1,1,-1,-1,-1,1
1,1,1,1,1,1,-1,1,1,1,1
1,1,1,1,1,-1,-1,1,-1,1,1
1,1,1,1,-1,1,1,1,1,1,1
1,1,1,-1,-1,1,-1,1,-1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,1,-1,-1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,-1,1,1,1,1,0
-1,-1,1,-1,-1,1,-1,1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,1
1,-1,-1,-1,1,-1,1,1,-1,1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,1
1,1,1,-1,1,1,-1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,1,1,-1,-1,1,1,1,1
1,1,1,-1,-1,-1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,1,1,-1,-1,-1,-1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,-1,1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,0
-1,1,1,-1,-1,-1,-1,1,1,-1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
1,-1,-1,-1,-1,1,1,1,1,1,0
-1,-1,-1,-1,1,1,-1,1,-1,-1,0
-1,-1,-1,-1,1,1,1,-1,1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,-1,-1,-1,1
1,-1,-1,-1,-1,1,1,-1,1,1,0
-1,-1,-1,-1,1,1,-1,1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,1,-1,1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,1
1,1,1,1,1,1,-1,1,-1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,-1,-1,-1,1,-1,-1,-1,1,-1,1
1,-1,-1,-1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,-1,1,1,1,1,1,0
-1,-1,-1,-1,1,1,-1,1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,1,-1,-1,1,-1,-1,-1,1,-1,1
1,1,1,-1,-1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,1,-1,-1,1,-1,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1,1,-1,1,0
-1,-1,-1,-1,1,1,1,-1,-1,-1,1
1,1,1,1,1,1,-1,1,1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,1,-1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,1,1,-1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,-1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,-1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,-1,-1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,1,-1,1,1,1
1,-1,1,1,-1,1,-1,1,1,1,0
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,-1,1,1,1,1
1,-1,-1,1,1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
1,-1,-1,-1,1,1,1,1,1,1,1
1,1,-1,-1,1,1,1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,-1,1,-1,-1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,1,-1,1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,-1,1,-1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,1,1,-1,1,-1,1
1,1,1,1,1,1,-1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1,-1,1
1,-1,1,1,-1,1,1,1,1,1,0
-1,1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,1,-1,-1,1,-1,1
1,1,1,1,1,-1,-1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1,1,1
1,1,1,1,-1,1,1,1,1,1,0
-1,1,-1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,-1,1,1
1,1,1,-1,1,-1,1,-1,-1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,1,-1,-1,1,1,1
1,1,1,1,1,-1,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,1,1,-1,1,-1,1,1
1,1,1,1,1,-1,1,-1,1,1,1
1,1,1,-1,-1,1,-1,-1,-1,1,1
1,1,1,-1,1,-1,-1,-1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,-1,-1,1,1
1,1,1,1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,1,1,1
1,1,1,-1,-1,1,-1,-1,-1,1,0
-1,1,1,-1,1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,1,0
-1,-1,1,-1,-1,-1,1,1,-1,-1,1
1,-1,-1,-1,1,1,1,-1,1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
1,-1,-1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,0
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,-1,-1,1,-1,1,1,1,1,1
1,-1,1,1,-1,1,1,1,-1,1,0
-1,-1,-1,-1,-1,1,1,-1,-1,-1,0
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0
-1,1,-1,-1,1,-1,-1,-1,1,-1,1
1,-1,1,-1,-1,-1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,-1,1,-1,0
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,-1,1,0
-1,1,1,-1,1,1,-1,-1,-1,-1,1
1,1,1,-1,1,1,-1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,-1,1,-1,-1,1,1,1,1
1,-1,1,1,-1,-1,1,1,-1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,-1,-1,-1,1,1
1,1,1,-1,1,1,1,-1,1,1,1
1,1,1,-1,1,1,-1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1,0
-1,1,1,-1,-1,-1,-1,-1,-1,-1,0
-1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,-1,1,1,1,1
1,1,1,-1,1,-1,1,1,1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,-1,1
1,1,1,-1,1,1,-1,-1,1,-1,1
1,1,1,-1,1,-1,-1,1,1,1,0
